Hakusana	Homonymia	Sanaluokka	Taivutustiedot
aivokapasiteetti		substantiivi	
aivokasvain		substantiivi	
aivokierto		substantiivi	
aivokirurgi		substantiivi	
aivokoppa		substantiivi	
aivokuolema		substantiivi	
aivokuollut		substantiivi, adjektiivi	
aivokuori		substantiivi	26
aivokurkiainen		substantiivi	38
aivokuume		substantiivi	
aivokuva		substantiivi	
aivokuvaus		substantiivi	
aivokÃ¤yrÃ¤		substantiivi	
aivoleikkaus		substantiivi	
aivolisÃ¤ke		substantiivi	
aivonystyrÃ¤		substantiivi	
aivopaine		substantiivi	
aivopestÃ¤		verbi	
aivopesu		substantiivi	
aivopieru		substantiivi	
aivopuolisko		substantiivi	
aivoriihi		substantiivi	
aivorunko		substantiivi	
aivosairaus		substantiivi	
aivo-selkÃ¤ydinneste		substantiivi	
aivosolu		substantiivi	
aivosto		substantiivi	2
aivosyntyinen		adjektiivi	
aivosÃ¤hkÃ¶kÃ¤yrÃ¤		substantiivi	
aivot		substantiivi	1
aivotoiminta		substantiivi	
aivoton		adjektiivi	34*C
aivotrusti		substantiivi	
aivottomuus		substantiivi	40
aivotulehdus		substantiivi	
aivotuonti		substantiivi	
aivoturso		substantiivi	
aivotutkija		substantiivi	
aivotutkimus		substantiivi	
aivotyÃ¶		substantiivi	
aivotÃ¤rÃ¤hdys		substantiivi	
aivovamma		substantiivi	
aivovammainen		adjektiivi, substantiivi	
aivovaurio		substantiivi	
aivoverenkierto		substantiivi	
aivoverenvuoto		substantiivi	
aivoveritulppa		substantiivi	
aivovienti		substantiivi	
aivovoimistelu		substantiivi	
aivovuoto		substantiivi	
ajaa		verbi	56
ajaantua		verbi	52*J
ajaja		substantiivi	10
ajallaan		adverbi	99
ajallinen		adjektiivi	38
ajallisesti		adverbi	99
ajallisuus		substantiivi	40
ajanhaaskaus		substantiivi	
ajanhaaskuu		substantiivi	
ajanhallinta		substantiivi	
ajanhetki		substantiivi	
ajanhukka		substantiivi	
ajanjako		substantiivi	
ajanjakso		substantiivi	
ajankohta		substantiivi	10*F
ajankohtainen		adjektiivi	
ajankohtaisohjelma		substantiivi	
ajankohtaistaa		verbi	53
ajankohtaistua		verbi	52
ajankohtaisuus		substantiivi	
ajankulu		substantiivi	
ajankuluke		substantiivi	48*A
ajankuva		substantiivi	
ajankuvaus		substantiivi	
ajankÃ¤yttÃ¶		substantiivi	
ajanlasku		substantiivi	
ajan mittaan			99
ajanmittaus		substantiivi	
ajanmukainen		adjektiivi	
